排名,排名变化,全名_中文,全名_英文,年龄,出生地_中文,出生地_英文,性别,照片,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,组织结构,财富值_人民币_亿,财富值变化,财富值_美元,年份
1,2,钟睒睒,Zhong Shanshan,67,中国-浙江-绍兴,,先生,https://res.hurun.cn/photo/005216_Zhong_Shanshan.jpg,养生堂,YST,中国-浙江-杭州,China-Zhejiang-Hangzhou,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,3900.0,7%,60500.0,2021-10-27
2,28,张一鸣,Zhang Yiming,38,中国-福建-龙岩,China-Fujian-Longyan,先生,https://res.hurun.cn/photo/000022_Zhang_Yiming.jpg,字节跳动,ByteDance,中国-北京,China-Beijing,社交媒体,Social Media,未知,3400.0,209%,52800.0,2021-10-27
3,21,曾毓群,Zeng Yuqun,53,中国-福建-宁德,China-Fujian-Ningde,先生,https://res.hurun.cn/photo/000057_Zeng_Yuqun.jpg,宁德时代,CATL,中国-福建-宁德,China-Fujian-Ningde,锂电池,Battery Technology,未知,3200.0,167%,49700.0,2021-10-27
4,-2,马化腾,Ma Huateng,50,中国-海南,China-Hainan,先生,https://res.hurun.cn/photo/000002_Ma_Huateng.jpg,腾讯,Tencent,中国-广东-深圳,China-Guangdong-Shenzhen,互联网服务,Internet Services,未知,3170.0,-19%,49200.0,2021-10-27
5,-4,马云,Ma Yun,57,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/photo/000001_Ma_Yun.jpg,阿里系,Alibaba,中国-浙江-杭州,China-Zhejiang-Hangzhou,电子商务、金融科技,"E-Commerce, Fintech",未知,2550.0,-36%,39600.0,2021-10-27
6,2,黄峥,Huang Zheng,41,中国-浙江-杭州,China-Zhejiang-Hangzhou,先生,https://res.hurun.cn/photo/000007_Huang_Zheng.jpg,拼多多,Pinduoduo,中国-上海-长宁,China-Shanghai-Changning,购物网站,E-Commerce,未知,2290.0,4%,35600.0,2021-10-27
7,89,魏建军,Wei Jianjun,57,中国-河北-保定,China-Hebei-Baoding,先生,https://res.hurun.cn/photo/000088_Wei_Jianjun.jpg,长城,Great Wall Motor,中国-河北-保定,China-Hebei-Baoding,汽车制造,Automobile,未知,2180.0,384%,33900.0,2021-10-27
8,New,李嘉诚,Li Ka-shing,93,中国-香港,China-Hong Kong,先生,https://res.hurun.cn/default/icon_men.jpg,长江实业,Cheung Kong,中国-香港,China-Hong Kong,投资,Estate Holding,未知,2150.0,New,33400.0,2021-10-27
9,-3,何享健,He Xiangjian,79,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/photo/000004_He_Xiangjian.jpg,美的,Midea,中国-广东-佛山,China-Guangdong-Foshan,家电制造、房地产,"Household Appliances, Real Estate",未知,2130.0,-5%,33100.0,2021-10-27
10,-6,王卫,Wang Wei,51,中国-上海,China-Shanghai,先生,https://res.hurun.cn/photo/000012_Wang_Wei.jpg,顺丰,SF,中国-广东-深圳,China-Guangdong-Shenzhen,快递,Express Delivery,未知,1930.0,-20%,30000.0,2021-10-27
11,-5,杨惠妍,Yang Huiyan,40,中国-广东-佛山,China-Guangdong-Foshan,女士,https://res.hurun.cn/photo/000006_Yang_Huiyan.jpg,碧桂园,Country Garden,中国-广东-佛山,China-Guangdong-Foshan,房地产、教育,"Real Estate, Education",未知,1850.0,-18%,28700.0,2021-10-27
12,8,陈建华,Chen Jianhua,50,中国-江苏-苏州,China-Jiangsu-Suzhou,先生,https://res.hurun.cn/photo/000013_Chen_Jianhua.jpg,恒力,Hengli,中国-江苏-苏州,China-Jiangsu-Suzhou,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",未知,1790.0,33%,27800.0,2021-10-27
13,11,李书福,Li Shufu,58,中国-浙江-台州,China-Zhejiang-Taizhou,先生,https://res.hurun.cn/photo/000015_Li_Shufu.jpg,吉利,Geely ,中国-浙江-杭州,China-Zhejiang-Hangzhou,汽车制造,Car Manufacturing,未知,1750.0,46%,27200.0,2021-10-27
14,-6,丁磊,Ding Lei,50,中国-浙江-宁波,China-Zhejiang-Ningbo,先生,https://res.hurun.cn/photo/000008_Ding_Lei.jpg,网易,Netease,中国-浙江-杭州,China-Zhejiang-Hangzhou,互联网技术,Internet Services,未知,1710.0,-22%,26600.0,2021-10-27
15,New,李兆基,Lee Shau Kee,93,中国-广东-佛山,China-Guangdong-Foshan,先生,https://res.hurun.cn/default/icon_men.jpg,恒基兆业,Henderson Land,中国-香港,China-Hong Kong,房地产,Estate Holding,未知,1700.0,New,26400.0,2021-10-27
